"","x"
"1",0.481
"2",0.516
"3",0.505
"4",0.5125
"5",0.5135
"6",0.509
"7",0.5045
"8",0.51
"9",0.5145
"10",0.518
"11",0.519
"12",0.513
"13",0.516
"14",0.513
"15",0.5125
"16",0.517
"17",0.517
"18",0.521
"19",0.5175
"20",0.5205
"21",0.52
"22",0.521
"23",0.52
"24",0.52
"25",0.5225
"26",0.5215
"27",0.5225
"28",0.5205
"29",0.5235
"30",0.5175
"31",0.515
"32",0.519
"33",0.5195
"34",0.521
"35",0.521
"36",0.52
"37",0.5165
"38",0.517
"39",0.515
"40",0.5175
"41",0.518
"42",0.5145
"43",0.5135
"44",0.517
"45",0.513
"46",0.519
"47",0.513
"48",0.5135
"49",0.515
"50",0.5145
"51",0.5115
"52",0.5165
"53",0.5225
"54",0.521
"55",0.523
"56",0.524
"57",0.515
"58",0.5145
"59",0.516
"60",0.5165
"61",0.516
"62",0.513
"63",0.515
"64",0.5145
"65",0.513
"66",0.513
"67",0.513
"68",0.5145
"69",0.514
"70",0.5185
"71",0.5165
"72",0.5175
"73",0.5215
"74",0.5205
"75",0.5215
"76",0.5195
"77",0.5185
"78",0.5215
"79",0.5205
"80",0.5195
"81",0.5215
"82",0.5195
"83",0.519
"84",0.5215
"85",0.52
"86",0.5215
"87",0.52
"88",0.5175
"89",0.519
"90",0.5205
"91",0.5205
"92",0.5185
"93",0.518
"94",0.519
"95",0.517
"96",0.5195
"97",0.5175
"98",0.517
"99",0.516
"100",0.5155
"101",0.516
"102",0.516
"103",0.5145
"104",0.5165
"105",0.516
"106",0.5165
"107",0.5135
"108",0.515
"109",0.517
"110",0.517
"111",0.5175
"112",0.516
"113",0.516
"114",0.5175
"115",0.514
"116",0.5155
"117",0.516
"118",0.516
"119",0.5155
"120",0.515
"121",0.516
"122",0.516
"123",0.5145
"124",0.5135
"125",0.516
"126",0.518
"127",0.518
"128",0.5165
"129",0.5165
"130",0.516
"131",0.514
"132",0.516
"133",0.516
"134",0.515
"135",0.5145
"136",0.5145
"137",0.5145
"138",0.5135
"139",0.514
"140",0.514
"141",0.512
"142",0.51
"143",0.516
"144",0.516
"145",0.517
"146",0.514
"147",0.5135
"148",0.5135
"149",0.5135
"150",0.5125
